condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
full,Bortezomib,0.2910704045428903,5.565136980033958e-05,186,True
full,CCT-018159,-0.10274841437632136,0.5068855298425629,44,True
full,Vinorelbine,0.5765014185620588,5.928630916417178e-18,187,True
full,Docetaxel,0.6141729558492727,3.7532488265081e-34,316,True
full,Cisplatin,0.48994355304680215,1.9747555392854437e-10,150,True
full,AZD2014,0.21936115730302688,0.011184073130968041,133,True
full,Alpelisib,0.2577967041815298,0.00036792908624562503,187,True
full,Savolitinib,0.1009776725146744,0.1702578149622193,186,True
full,Ipatasertib,0.18527476933549042,0.011349971876242622,186,True
full,Taselisib,0.34952096553440337,8.239216938267857e-07,189,True
full,Camptothecin,0.6176078494107609,2.919526602227896e-21,189,True
full,Talazoparib,0.43271104203783034,7.689079603654171e-10,185,True
full,Crizotinib,0.47250750990952567,6.667614504165822e-12,189,True
full,Motesanib,-0.01110489481900553,0.8794559360365966,189,True
full,Cytarabine,0.4958116831994961,2.2831080282458223e-10,145,True
full,Axitinib,0.5045663804902327,1.3339379746673357e-13,189,True
full,Tozasertib,0.478879015721121,0.00018878149813592968,56,True
full,Irinotecan,0.5587152562403884,9.616733960033039e-17,187,True
full,Acetalax,0.43921697787111375,7.07510631943215e-14,264,True
full,Luminespib,0.42829930374845393,9.663049193573785e-10,187,True
full,Leflunomide,0.16958738649617433,0.027044512019315244,170,True
full,Temozolomide,0.045123446915160244,0.5375357790084512,189,True
full,Staurosporine,0.5423375191906469,6.379915233413073e-16,190,True
full,AZD6738,0.39721850537789816,1.9827066545428398e-08,186,True
full,Cyclophosphamide,0.11019586085999747,0.13431427938642188,186,True
full,Teniposide,0.661424553750789,6.002949357561774e-18,132,True
full,Dacarbazine,-0.0038141850114529895,0.9653786858320632,132,True
full,Mycophenolic acid,0.4922295701464336,3.2129078977719124e-10,145,True
full,Ruxolitinib,0.037533299733602137,0.6259866226466897,171,True
full,Osimertinib,0.21421984344185482,0.003324363508408584,186,True
full,AZD5438,0.32506809765254385,0.00013470269066649836,133,True
full,AT13148,0.14364546592331323,0.04983997684880527,187,True
full,Oxaliplatin,0.39493356946951635,1.995344886484e-13,321,True
full,Daporinad,0.5937031484257872,2.155943835430503e-12,116,True
full,AZD5363,0.19755884917175237,0.00687432681571862,186,True
full,MK-8776,0.30884101282583254,1.7951465276358384e-05,186,True
full,Topotecan,0.6199381173266266,2.2625121593624672e-15,132,True
full,Lapatinib,0.3335519650189303,2.729648185987987e-06,189,True
full,LGK974,0.206117250668908,0.004652384217227809,187,True
full,Afatinib,0.40500842503345635,8.160364922076917e-09,188,True
full,Tamoxifen,0.11004853395745236,0.1348389015595616,186,True
full,Dabrafenib,0.19249869969755928,0.008846869347717928,184,True
full,Cediranib,0.22898050715887525,0.001668260309058171,186,True
full,PRIMA-1MET,0.35683343408992374,1.7845860822346003e-06,170,True
full,BI-2536,0.6687471571992901,5.9573193383120255e-25,182,True
full,GDC0810,0.10162110953062078,0.1675374590576048,186,True
