cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,COL1A1,7,3.948113382128733e-05,0.265489251256058
Acute Myeloid Leukemia,MISP,7,3.922923562121079e-05,0.13506652661064425
Acute Myeloid Leukemia,MST1R,7,3.902580101566855e-05,0.166588579876395
Acute Myeloid Leukemia,SPP1,7,3.8967900179289116e-05,0.24366024187452756
Acute Myeloid Leukemia,S100A2,7,3.876575907010452e-05,0.31748782846471924
Acute Myeloid Leukemia,MSLN,7,3.8658241464872845e-05,0.24305110933262195
Acute Myeloid Leukemia,MZB1,7,3.7317936793052855e-05,0.04144296607531901
Acute Myeloid Leukemia,NRP1,7,3.706189597453756e-05,0.288583488951136
Acute Myeloid Leukemia,SPARC,7,3.678659842470162e-05,0.20049630963496506
Acute Myeloid Leukemia,LGALS1,7,3.647987130404674e-05,0.4538370903917122
Acute Myeloid Leukemia,RNVU1-7,7,3.631083226147374e-05,0.33221899871059535
Acute Myeloid Leukemia,CAV1,7,3.586393255058543e-05,0.2417172424525366
Acute Myeloid Leukemia,S100A14,7,3.576180799364741e-05,0.13130196523053667
Acute Myeloid Leukemia,AHNAK,7,3.4736956779722406e-05,0.35584539371304075
Acute Myeloid Leukemia,WFDC2,7,3.409853109457929e-05,0.19275654706326975
Acute Myeloid Leukemia,CLDN1,7,3.289463243813121e-05,0.2916210928815971
Acute Myeloid Leukemia,CRABP2,7,3.127218847761729e-05,0.24515834111422347
Acute Myeloid Leukemia,BCAM,7,3.117010783171281e-05,0.2621267951625094
Acute Myeloid Leukemia,SELENBP1,7,3.060574973850245e-05,0.17527927837801788
Acute Myeloid Leukemia,CSTA,7,3.056873109536744e-05,0.1887899604286159
Acute Myeloid Leukemia,ASS1,7,3.0516400589216835e-05,0.32861394557823126
Acute Myeloid Leukemia,LDOC1,7,3.0264411699525745e-05,0.2465475078920457
Acute Myeloid Leukemia,FXYD3,7,3.0164270551072798e-05,0.15184712773998488
Acute Myeloid Leukemia,CAVIN1,7,2.99113179339981e-05,0.17413576541727802
Acute Myeloid Leukemia,ANXA3,7,2.9845255085092504e-05,0.19144407763105242
Acute Myeloid Leukemia,ELF3,7,2.964665730230211e-05,0.19895152505446623
Acute Myeloid Leukemia,CKMT1B,7,2.9150399703732027e-05,0.19706326975234537
Acute Myeloid Leukemia,BCL2,7,2.8998912577143138e-05,0.2637568916455471
Acute Myeloid Leukemia,MT1E,7,2.8788978072822958e-05,0.3582363500955938
Acute Myeloid Leukemia,SMIM22,7,2.838985366387143e-05,0.08337529456226934
Acute Myeloid Leukemia,AXL,7,2.7899777575969764e-05,0.13472805788982262
Acute Myeloid Leukemia,PRSS8,7,2.7635892495579484e-05,0.09559434885065136
Acute Myeloid Leukemia,ALDH3A1,7,2.7214991470308242e-05,0.17189181228046774
Acute Myeloid Leukemia,KRT19,7,2.700306920035343e-05,0.23499844382197324
